,Gia du doan,Gia thuc,% sai lech
801,37484.467568514185,37500.0,0.041419817295507526
4479,99952.60599854759,100000.0,0.04739400145241234
4787,154031.70670113747,154167.0,0.08775762573217696
8061,162280.7612157077,162500.0,0.13491617494911098
3877,166386.23860752274,166667.0,0.16845649857335857
3590,103960.17675399962,104167.0,0.19854968080138458
10158,103960.17675399962,104167.0,0.19854968080138458
1607,112269.51526144937,112500.0,0.20487532315611479
2320,112269.51526144937,112500.0,0.20487532315611479
9289,89807.59306032154,90000.0,0.21378548853162402
1822,91040.29988553458,91250.0,0.22980834461963887
9183,26556.59554952695,26625.0,0.25691812384243456
10977,171319.37091085175,170833.0,0.2847054789483007
863,29080.02528355991,29167.0,0.29819561984465515
263,74771.47650196515,75000.0,0.3046979973797958
5115,83615.12980609167,83333.0,0.33855712153849526
11219,100346.26870484611,100000.0,0.34626870484610844
2548,143195.94999372074,143750.0,0.38542609132469996
5653,128579.48091817733,129125.0,0.4224736354870623
2900,78821.07594061583,79167.0,0.43695486678056233
6311,61795.7216803357,62083.0,0.46273266379572425
7657,81665.4607248014,81250.0,0.511336276678655
7377,96323.29339188327,95833.0,0.5116122753991542
8635,104450.66789657272,105000.0,0.5231734318355059
10787,77521.66606951113,77083.0,0.5690827672912769
11840,81739.38024095637,81250.0,0.6023141427155262
2792,36227.08638060813,36458.0,0.6333688611329956
1806,109050.38116486075,108333.0,0.6622000358715734
7507,134227.09705003834,133333.0,0.6705744639649156
12754,157149.9649910468,158333.0,0.7471815786684934
5123,157149.9649910468,158333.0,0.7471815786684934
1817,157149.9649910468,158333.0,0.7471815786684934
7304,157149.9649910468,158333.0,0.7471815786684934
9812,157149.9649910468,158333.0,0.7471815786684934
1376,157149.9649910468,158333.0,0.7471815786684934
4635,157149.9649910468,158333.0,0.7471815786684934
4929,157149.9649910468,158333.0,0.7471815786684934
8146,157149.9649910468,158333.0,0.7471815786684934
5085,157149.9649910468,158333.0,0.7471815786684934
12259,157149.9649910468,158333.0,0.7471815786684934
5559,157149.9649910468,158333.0,0.7471815786684934
1384,157149.9649910468,158333.0,0.7471815786684934
10373,157149.9649910468,158333.0,0.7471815786684934
5164,157149.9649910468,158333.0,0.7471815786684934
1469,157149.9649910468,158333.0,0.7471815786684934
12390,157149.9649910468,158333.0,0.7471815786684934
3761,157149.9649910468,158333.0,0.7471815786684934
2672,157149.9649910468,158333.0,0.7471815786684934
11589,157149.9649910468,158333.0,0.7471815786684934
12485,157149.9649910468,158333.0,0.7471815786684934
2000,157149.9649910468,158333.0,0.7471815786684934
1595,157149.9649910468,158333.0,0.7471815786684934
7721,157149.9649910468,158333.0,0.7471815786684934
8746,157149.9649910468,158333.0,0.7471815786684934
8366,157149.9649910468,158333.0,0.7471815786684934
6077,157149.9649910468,158333.0,0.7471815786684934
7084,157149.9649910468,158333.0,0.7471815786684934
5385,157149.9649910468,158333.0,0.7471815786684934
11574,157149.9649910468,158333.0,0.7471815786684934
9065,157149.9649910468,158333.0,0.7471815786684934
631,76495.57924477142,77083.0,0.7620626535404443
10631,239489.21224085026,237500.0,0.8375630487790575
11528,90059.76515951338,90833.0,0.8512708382268787
11760,37316.352835719634,37000.0,0.8550076641071183
2764,132181.2829891137,133333.0,0.8637899176395131
11237,113068.0859847103,112083.0,0.8788897377035754
10621,113068.0859847103,112083.0,0.8788897377035754
10879,113068.0859847103,112083.0,0.8788897377035754
5710,113068.0859847103,112083.0,0.8788897377035754
10086,113068.0859847103,112083.0,0.8788897377035754
8661,113068.0859847103,112083.0,0.8788897377035754
2759,113068.0859847103,112083.0,0.8788897377035754
6865,113068.0859847103,112083.0,0.8788897377035754
2017,113068.0859847103,112083.0,0.8788897377035754
3608,113068.0859847103,112083.0,0.8788897377035754
2912,113068.0859847103,112083.0,0.8788897377035754
10282,113068.0859847103,112083.0,0.8788897377035754
8611,113068.0859847103,112083.0,0.8788897377035754
10132,113068.0859847103,112083.0,0.8788897377035754
11638,113068.0859847103,112083.0,0.8788897377035754
7033,113068.0859847103,112083.0,0.8788897377035754
5108,113068.0859847103,112083.0,0.8788897377035754
2695,113068.0859847103,112083.0,0.8788897377035754
11274,113068.0859847103,112083.0,0.8788897377035754
9273,113068.0859847103,112083.0,0.8788897377035754
11475,113068.0859847103,112083.0,0.8788897377035754
2936,113068.0859847103,112083.0,0.8788897377035754
12456,113068.0859847103,112083.0,0.8788897377035754
6453,113068.0859847103,112083.0,0.8788897377035754
7734,113068.0859847103,112083.0,0.8788897377035754
6670,113068.0859847103,112083.0,0.8788897377035754
2711,113068.0859847103,112083.0,0.8788897377035754
3292,168375.50583777804,166667.0,1.0251014524639173
4819,130499.20892950606,129167.0,1.0313848966888275
1254,142242.9074384474,143750.0,1.048412216732238
560,77938.30471673413,77083.0,1.1095892956087963
7589,140000.79923149536,141667.0,1.1761389515586842
12265,122288.44215007949,120833.0,1.204507171120046
9488,88503.77336365684,89583.0,1.2047225883740837
8194,80124.89563728053,79167.0,1.2099683419613299
1228,288102.4449949492,291667.0,1.222131747866844
10810,46399.609854562106,45833.0,1.236248673580403
4272,69955.21212220627,70833.0,1.2392357768183324
12436,94641.21554643083,95833.0,1.2436054945260706
6706,92809.95472705939,91667.0,1.246855168227814
11257,83827.22298507967,82792.0,1.2503901162910331
12602,68803.03924787062,67917.0,1.30459126267447
8936,141416.18683028524,139583.0,1.3133310147261759
10620,40108.567300619456,39583.0,1.327760151124108
7158,88802.38397160731,90000.0,1.330684475991875
821,62469.08160068924,63333.0,1.3640888625373155
9276,103960.17675399962,105417.0,1.381962345732072
5681,80124.89563728053,81250.0,1.3847438310393527
11737,69016.7022935389,70000.0,1.4047110092301487
12090,93044.0852632606,91667.0,1.502269369850215
10772,143588.08694080578,145792.0,1.5116831233498567
8941,103637.5606608611,102083.0,1.5228399056268898
7596,36927.052061669456,37500.0,1.5278611688814514
11682,116095.12201414113,117917.0,1.5450511680748897
3625,223572.0524087124,227083.0,1.5461076308167532
7288,102544.78915520971,104167.0,1.557317427582907
6869,68085.17879772809,69167.0,1.5640713089651264
