DiaChi,Quan,TinhTrangBDS,DienTich,Phongngu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,Gia,USD,log_price,Rank
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,50.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1500000000.0,62500.0,11.042921835724492,62500.0
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,63.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1650000000.0,68750.0,11.138232015528818,68750.0
"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,57.72,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1750000000.0,72917.0,11.197077086969871,72917.0
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,65.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1760000000.0,73333.0,11.202765991201511,73333.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,69.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,1120000000.0,46667.0,10.750792555754964,46667.0
"192, 192 Đường An Dương Vương, Phường 16, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,52.0,2.0,1.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1620000000.0,67500.0,11.119882876860622,67500.0
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,58.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1550000000.0,64583.0,11.07570649724384,64583.0
"Số 34/1A, Số 34/1A Đường Quốc Lộ 1A, Phường Thới An, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,68.0,2.0,2.0,Chung cư,Đang chờ sổ,Bàn giao thô,1650000000.0,68750.0,11.138232015528818,68750.0
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,45.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,900000000.0,37500.0,10.532096211958502,37500.0
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,50.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1500000000.0,62500.0,11.042921835724492,62500.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,45.0,1.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1200000000.0,50000.0,10.819778284410283,50000.0
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,40.0,1.0,1.0,Căn hộ dịch vụ,Đã có sổ,Nội thất đầy đủ,950000000.0,39583.0,10.58615501214069,39583.0
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,45.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,900000000.0,37500.0,10.532096211958502,37500.0
"đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,67.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1600000000.0,66667.0,11.107465356849564,66667.0
"793, Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Quận 7,Chưa bàn giao,40.0,1.0,1.0,Duplex,Giấy tờ khác,Hoàn thiện cơ bản,1400000000.0,58333.0,10.9739232499355,58333.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,49.0,2.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1830000000.0,76250.0,11.241772694469658,76250.0
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,40.0,1.0,1.0,Căn hộ dịch vụ,Đã có sổ,Nội thất đầy đủ,950000000.0,39583.0,10.58615501214069,39583.0
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh", Quận 8,Chưa bàn giao,62.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1850000000.0,77083.0,11.252638042372888,77083.0
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh", Quận 8,Chưa bàn giao,56.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1500000000.0,62500.0,11.042921835724492,62500.0
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,50.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1395000000.0,58125.0,10.970351142889658,58125.0
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh", Quận 12,Chưa bàn giao,48.6,1.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1600000000.0,66667.0,11.107465356849564,66667.0
"10A, 10A Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,61.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1800000000.0,75000.0,11.225243392518449,75000.0
"1436, Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,79.0,3.0,2.0,Chung cư,Giấy tờ khác,Nội thất đầy đủ,1854000000.0,77250.0,11.254802194759993,77250.0
"Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,52.0,2.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1580000000.0,65833.0,11.094876511351249,65833.0
"Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,65.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1860000000.0,77500.0,11.258033215341438,77500.0
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,50.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1395000000.0,58125.0,10.970351142889658,58125.0
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,68.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1630000000.0,67917.0,11.126041650398417,67917.0
"243, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,72.0,3.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1700000000.0,70833.0,11.168080272785073,70833.0
"239 – 241 – 278, 239 – 241 – 278 Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Đã bàn giao,65.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,1800000000.0,75000.0,11.225243392518449,75000.0
"Đường Cát Lái, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,58.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1800000000.0,75000.0,11.225243392518449,75000.0
"Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Chưa bàn giao,48.9,3.0,2.0,Duplex,Đã có sổ,Hoàn thiện cơ bản,4150000.0,173.0,5.153291594497779,173.0
"Đường Quốc lộ 1K, Phường Linh Xuân, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,56.0,2.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,31000000.0,1292.0,7.163946684342547,1292.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,45.0,1.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1200000000.0,50000.0,10.819778284410283,50000.0
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,50.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1500000000.0,62500.0,11.042921835724492,62500.0
"đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,69.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1845000000.0,76875.0,11.249936005108818,76875.0
"Khu dân cư Cát Lái, Đường 18B, Phường Cát Lái, Quận 2, Hồ Chí Minh", Quận 2,Chưa bàn giao,56.32,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,670000000.0,27917.0,10.236991101246426,27917.0
"Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh", Huyện Bình Chánh,Chưa bàn giao,50.0,2.0,2.0,Chung cư,Giấy tờ khác,Nội thất cao cấp,1380000000.0,57500.0,10.959540226785442,57500.0
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,50.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1500000000.0,62500.0,11.042921835724492,62500.0
"102, 102 Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,53.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1300000000.0,54167.0,10.899827145911038,54167.0
"Số 383, Số 383 Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,45.0,1.0,1.0,Officetel,Đang chờ sổ,Nội thất cao cấp,1900000000.0,79167.0,11.279314824306176,79167.0
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,54.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1750000000.0,72917.0,11.197077086969871,72917.0
"Đường Tân Thới Nhất 8, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,55.79,2.0,1.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1150000000.0,47917.0,10.77722562648903,47917.0
"đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,58.0,2.0,1.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1920000000.0,80000.0,11.289781913656018,80000.0
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,45.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,900000000.0,37500.0,10.532096211958502,37500.0
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,40.0,1.0,1.0,Căn hộ dịch vụ,Đã có sổ,Nội thất đầy đủ,950000000.0,39583.0,10.58615501214069,39583.0
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,70.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1900000000.0,79167.0,11.279314824306176,79167.0
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,54.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1750000000.0,72917.0,11.197077086969871,72917.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,61.0,2.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1390000000.0,57917.0,10.96676623013805,57917.0
"415 lô D chung cư nhiêu lộc C, Võ Công Tồn, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Đã bàn giao,71.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1850000000.0,77083.0,11.252638042372888,77083.0
"48A, Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,68.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1900000000.0,79167.0,11.279314824306176,79167.0
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,63.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1650000000.0,68750.0,11.138232015528818,68750.0
"Đường Số 14, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,48.5,1.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1800000000.0,75000.0,11.225243392518449,75000.0
"o5, Đường 17A, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Chưa bàn giao,53.0,2.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1550000000.0,64583.0,11.07570649724384,64583.0
"Đường Vườn Lài, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,47.0,2.0,1.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1300000000.0,54167.0,10.899827145911038,54167.0
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,45.0,1.0,1.0,Officetel,Giấy tờ khác,Hoàn thiện cơ bản,1720000000.0,71667.0,11.179785669593665,71667.0
"16, Đường Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,30.0,1.0,1.0,Căn hộ dịch vụ,Giấy tờ khác,Hoàn thiện cơ bản,900000000.0,37500.0,10.532096211958502,37500.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,45.0,1.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1200000000.0,50000.0,10.819778284410283,50000.0
"Đường 138, Phường Tân Phú, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,56.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1300000000.0,54167.0,10.899827145911038,54167.0
"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,28.0,1.0,1.0,Officetel,Đã có sổ,Hoàn thiện cơ bản,1700000000.0,70833.0,11.168080272785073,70833.0
"Phạm Thế Hiển, Phường 7, Quận 8, Tp Hồ Chí Minh", Quận 8,Chưa bàn giao,62.0,2.0,2.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1677000000.0,69875.0,11.1544632104574,69875.0
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,58.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1550000000.0,64583.0,11.07570649724384,64583.0
"01, Đường 34, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,56.0,2.0,1.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1650000000.0,68750.0,11.138232015528818,68750.0
"Đường Tôn Đức Thắng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh", Quận 1,Chưa bàn giao,62.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,200000000.0,8333.0,9.027978814382209,8333.0
"Đường Nguyễn Văn Linh, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh", Huyện Bình Chánh,Chưa bàn giao,59.0,2.0,2.0,Chung cư,Giấy tờ khác,Nội thất cao cấp,1900000000.0,79167.0,11.279314824306176,79167.0
"C2.17, Chung cư Ehome 1, số 86, Đường Dương Đình Hội, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,60.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1870000000.0,77917.0,11.26339943654854,77917.0
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,50.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1500000000.0,62500.0,11.042921835724492,62500.0
"Đường Mai Chí Thọ, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,55.0,1.0,1.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1900000000.0,79167.0,11.279314824306176,79167.0
"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,57.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,1870000000.0,77917.0,11.26339943654854,77917.0
"Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,34.7,1.0,1.0,Chung cư,Giấy tờ khác,Nội thất đầy đủ,630000000.0,26250.0,10.17542126801977,26250.0
"Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,61.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1850000000.0,77083.0,11.252638042372888,77083.0
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,65.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1780000000.0,74167.0,11.214074586292243,74167.0
"793/16, Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,32.0,1.0,1.0,Duplex,Giấy tờ khác,Nội thất cao cấp,1100000000.0,45833.0,10.732759634666934,45833.0
"Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Quận 2,Chưa bàn giao,101.2,3.0,2.0,Chung cư,Giấy tờ khác,Nội thất cao cấp,1800000000.0,75000.0,11.225243392518449,75000.0
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,45.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,900000000.0,37500.0,10.532096211958502,37500.0
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,45.0,1.0,1.0,Officetel,Đang chờ sổ,Hoàn thiện cơ bản,1690000000.0,70417.0,11.162189990267915,70417.0
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,65.0,2.0,2.0,Chung cư,Giấy tờ khác,Nội thất đầy đủ,1593000000.0,66375.0,11.10307575854424,66375.0
"117/80, Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,34.0,1.0,1.0,Chung cư,Giấy tờ khác,Nội thất đầy đủ,640000000.0,26667.0,10.191182124909783,26667.0
"đường N2 KCN Nam Tân Uyên, Bình Dương, Phường Linh Tây, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Chưa bàn giao,50.0,1.0,1.0,Officetel,Đang chờ sổ,Hoàn thiện cơ bản,1175000000.0,48958.0,10.798718066678637,48958.0
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,63.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1650000000.0,68750.0,11.138232015528818,68750.0
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,40.0,1.0,1.0,Căn hộ dịch vụ,Đã có sổ,Nội thất đầy đủ,950000000.0,39583.0,10.58615501214069,39583.0
"Đường D4, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,45.0,1.0,1.0,Duplex,Đã có sổ,Nội thất cao cấp,1900000000.0,79167.0,11.279314824306176,79167.0
