DiaChi,Quan,TinhTrangBDS,DienTich,Phongngu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,Gia,USD,log_price
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,57.72,2.0,2.0,1,1,1,1750000000.0,72917.0,11.197077086969871
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,65.0,2.0,2.0,1,2,2,1760000000.0,73333.0,11.202765991201511
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,69.0,2.0,2.0,1,2,3,1120000000.0,46667.0,10.750792555754964
"192, 192 Đường An Dương Vương, Phường 16, Quận 8, Tp Hồ Chí Minh",8,1,52.0,2.0,1.0,1,2,1,1620000000.0,67500.0,11.119882876860622
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,58.0,2.0,2.0,1,2,1,1550000000.0,64583.0,11.07570649724384
"Số 34/1A, Số 34/1A Đường Quốc Lộ 1A, Phường Thới An, Quận 12, Tp Hồ Chí Minh",12,1,68.0,2.0,2.0,1,2,4,1650000000.0,68750.0,11.138232015528818
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,45.0,1.0,1.0,1,2,3,900000000.0,37500.0,10.532096211958502
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,45.0,1.0,1.0,1,3,1,1200000000.0,50000.0,10.819778284410283
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,45.0,1.0,1.0,1,2,3,900000000.0,37500.0,10.532096211958502
"đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",12,1,67.0,2.0,2.0,1,1,2,1600000000.0,66667.0,11.107465356849564
"793, Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",7,2,40.0,1.0,1.0,3,3,1,1400000000.0,58333.0,10.9739232499355
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,49.0,2.0,1.0,1,3,1,1830000000.0,76250.0,11.241772694469658
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,62.0,2.0,2.0,1,2,1,1850000000.0,77083.0,11.252638042372888
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,56.0,2.0,2.0,1,1,2,1500000000.0,62500.0,11.042921835724492
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",12,2,48.6,1.0,1.0,1,3,1,1600000000.0,66667.0,11.107465356849564
"10A, 10A Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",12,1,61.0,2.0,2.0,1,1,2,1800000000.0,75000.0,11.225243392518449
"1436, Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",8,1,79.0,3.0,2.0,1,3,2,1854000000.0,77250.0,11.254802194759993
"Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,52.0,2.0,1.0,1,1,2,1580000000.0,65833.0,11.094876511351249
"Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",12,1,65.0,2.0,2.0,1,1,2,1860000000.0,77500.0,11.258033215341438
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,2.0,1,2,1,1630000000.0,67917.0,11.126041650398417
"243, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",6,1,72.0,3.0,2.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"239 – 241 – 278, 239 – 241 – 278 Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",19,1,65.0,2.0,2.0,1,1,3,1800000000.0,75000.0,11.225243392518449
"Đường Cát Lái, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh",2,1,58.0,2.0,2.0,1,2,2,1800000000.0,75000.0,11.225243392518449
"Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",13,2,48.9,3.0,2.0,3,1,1,4150000.0,173.0,5.153291594497779
"Đường Quốc lộ 1K, Phường Linh Xuân, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,56.0,2.0,1.0,1,2,3,31000000.0,1292.0,7.163946684342547
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,45.0,1.0,1.0,1,3,1,1200000000.0,50000.0,10.819778284410283
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",12,1,69.0,2.0,2.0,1,1,1,1845000000.0,76875.0,11.249936005108818
"Khu dân cư Cát Lái, Đường 18B, Phường Cát Lái, Quận 2, Hồ Chí Minh",2,2,56.32,2.0,2.0,1,2,1,670000000.0,27917.0,10.236991101246426
